1	209.340016	2.825378	354.352998
2	209.303978	2.624753	294.630775
3	209.278722	3.343629	1253.224058
4	209.266040	1.994044	911.045985
5	209.246608	7.756641	338.671653
6	209.223487	1.561511	619.703702
7	209.201996	2.858039	486.920998
8	154.286830	3.323407	914.616287
9	154.135239	2.837086	2836.400020
10	154.100065	7.592754	883.975580
11	154.097401	7.764459	760.129156
12	154.095543	2.636666	966.367121
13	137.231612	7.475640	1662.651644
14	137.228779	3.329376	726.442835
15	137.166080	7.373746	2068.471363
16	137.145124	2.855432	1393.119725
17	134.951406	2.859818	500.294133
18	134.882587	3.343864	186.790445
19	134.850043	7.768083	603.782049
20	134.802873	7.374124	620.924651
21	127.529441	7.478186	2099.331238
22	127.494479	7.598853	427.310177
23	126.849009	3.339194	425.034470
24	126.835499	7.632672	534.462212
25	126.834366	2.841734	385.637579
26	126.776569	7.374373	2040.050125
27	124.037090	7.608444	1011.414987
28	49.090374	2.825862	1695.185805
29	49.048279	1.566862	528.214893
30	49.017677	3.347899	903.985227
31	49.002851	1.029690	19850.792773
32	48.993430	1.994305	1008.728657
33	32.625638	2.647786	1362.395344
34	32.563905	1.569943	977.649530
35	32.543157	7.485906	423.268108
36	32.509439	1.983810	1202.518456
37	24.765254	2.631873	949.994380
38	24.717917	1.029406	9948.477012
39	24.681629	3.342868	294.094154
40	24.664963	2.858069	2134.159419
41	11.922962	1.990672	586.502971
42	11.920299	1.545851	1181.367752
43	11.912311	2.635055	1532.545609	
