1	0.933059	0.931834	0.761397	
2	1.01814	1.56707	6.01088	
3	1.02061	1.99991	6.40526	
4	1.03003	1.02985	45.7692	
5	1.0377	1.55651	5.45922	
6	1.0448	1.97439	7.63271	
7	1.1527	1.15424	0.371119	
8	1.16807	1.16598	0.533212	
9	1.52629	1.03295	4.62369	
10	1.54371	1.54082	1.5897	
11	1.55819	2.63653	2.74021	
12	1.55857	1.99765	3.95989	
13	1.57286	1.57944	1.7568	
14	1.58963	1.02678	4.48847	
15	1.96423	1.54851	1.13779	
16	1.97765	1.97462	1.29933	
17	1.99129	2.63719	1.36691	
18	1.99422	1.02967	2.62389	
19	1.99765	1.98524	1.50087	
20	2.00446	1.55905	0.903044	
21	2.026	1.56879	0.342504	
22	2.62888	2.87045	0.363495	
23	2.63123	3.36881	0.728289	
24	2.6366	2.63402	0.818985	
25	2.6375	1.56917	0.158596	
26	2.63902	3.30563	0.343435	
27	2.64326	2.8117	0.376684	
28	2.83657	2.80444	2.13056	
29	2.8431	2.63624	0.831733	
30	2.84684	2.8721	4.49847	
31	2.84741	3.33761	8.60711	
32	3.32481	3.31014	5.57071	
33	3.33561	2.63566	1.22801	
34	3.34002	2.84113	13.2361	
35	3.34495	3.37303	3.40909	
36	4.41119	-0.0540571	7.88194	
37	7.37858	7.5971	1.31016	
38	7.37874	7.7666	0.155858	
39	7.37984	7.37917	5.11898	
40	7.47904	7.59715	4.96215	
41	7.486	7.48309	7.27262	
42	7.59564	7.47905	0.637581	
43	7.59629	7.38001	1.35293	
44	7.59842	7.59588	5.41638	
45	7.76086	7.76373	3.92982	
46	7.767	7.37878	5.04664	
